projectname,Abstract,origin_label,datasetname
brooklyn-server,make maybe absent work transformed results,no,ds-02-commit
tomee,tomee basic validation rest methods,no,ds-02-commit
flink,hotfix test extract common variables,no,ds-02-commit
geode,geode user guide remove eviction enabled option from gfsh create region doc,no,ds-02-commit
camel,camel fixed bug with using camel and other annotations same pojo and routebuilder classes,no,ds-02-commit
activemq,added extra jar testing connection pool,no,ds-02-commit
systemds,systemml fix output representations binary ternary instructions this patch fixes special cases binary instructions where input sizes matrix vector not cover potential dense sparse change which causes outputs remain wrong sparse dense representations execution types such singlenode used jmlc scenarios this unnecessary furthermore special cases ternary instructions such ctable rexpand output representation cannot determined upfront and hence should similar binary operations check sparse dense conversions accordingly,no,ds-02-commit
reef,reef add support network credential client yarnclient this addressed issue adding networkcredential support httpclient which delegates net httpclient add interface which allows user specify mechanism access their credential source jira reef https issues apache org jira browse reef pull request closes,no,ds-02-commit
accumulo,accumulo prevent npe when starting shell,no,ds-02-commit
karaf,added rest amq commands,no,ds-02-commit
incubator-doris,optimize percentile approx through radix sort,no,ds-02-commit
jena,jena clear prefixes put ensure prefixes overwrite when added,no,ds-02-commit
druid,add new equal distribution strategy assigning tasks,no,ds-02-commit
drill,drill disable mergeprojectrule project expression has complex output type,no,ds-02-commit
ignite,ignite websessions passing genuine session ignite session,no,ds-02-commit
geode,geode improve redislockservice fix synchronization and memory leak geode improve redislockservice fix synchronization and memory leak redislockservice was not able automatically free keys locks after unlocking since keys were also beging referenced regions fix synchronization while iterating over keyset avoid,yes,ds-02-commit
ignite,ignite tests,no,ds-02-commit
brooklyn-server,dont fail stop just because didnt have machine previously,no,ds-02-commit
beam,beam add client side throttling this closes,no,ds-02-commit
tvm,relay docs details comp graphs relay dev intro,no,ds-02-commit
storm,imetricsconsumer handles data points batches,no,ds-02-commit
trafodion,merge trafodion update messages guide messages etc,no,ds-02-commit
myfaces-tobago,releasing,no,ds-02-commit
incubator-weex,doc mention camelcase doc test synax highlight doc add kebab case suggestion,no,ds-02-commit
geode,geode remove exception ignore when pool cannot connect server,yes,ds-02-commit
cloudstack,need check ccp qemu img,no,ds-02-commit
hadoop,hadoop lower log level contributed nicolas liochon,no,ds-02-commit
lucene-solr,indentation,yes,ds-02-commit
usergrid,fixing merge problems,no,ds-02-commit
brooklyn-server,moved abstractcontroller webapp project and ssl config exposed that level protocol detection protocol now correctly inferred was sometimes null,no,ds-02-commit
beam,this closes fixes path gitignore,no,ds-02-commit
brooklyn-server,add make easy write enrichers which combine sensors and amend type hierarchy other enrichers and update shellutils,yes,ds-02-commit
jena,temporary fix not reset outputstream java standard console closes output but that system err initially effect that stderr closed whole application,yes,ds-02-commit
shardingsphere,merge branch dev https github com apache incubator shardingsphere into dev,no,ds-02-commit
kylin,kylin bug fix,no,ds-02-commit
trafodion,trafodion improve ambari section provisioning guide add small screen caps better illustrate ambari integration fix couple typos project name macros thanks anuradhas review fix bug ambari integration code found exercising steps doc,yes,ds-02-commit
beam,dont set context classloader classloader will need set calcfn compile will that subsequent also fixes nullability errors,no,ds-02-commit
tinkerpop,regenerated csproj file after changes template ctr,no,ds-02-commit
geode,geode rename sharedconfig,no,ds-02-commit
echarts,tweak default value,no,ds-02-commit
attic-apex-core,account negative windowid,no,ds-02-commit
incubator-weex,merge branch android feature https github com alibaba weex into android feature refresh,no,ds-02-commit
ambari,revert ambari package regex get package from available can match wrong pkg dlysnichenko this reverts commit,no,ds-02-commit
lucene-solr,solr reset test hooks finally block avoid leakage other tests,yes,ds-02-commit
storm,merge branch storm downloadchunk should close input stream https github com abellina storm into storm,no,ds-02-commit
camel,camel comet component does not pass enablesessionheader paramter cometdbinding properly,no,ds-02-commit
groovy,add logic loop and transfere optimization flags into internal helper class later have optional optimization flag,no,ds-02-commit
druid,add joins column tree menu add joins column tree menu fix capitalization add keyword keep columns replaced actually fix capitalization add keywords,no,ds-02-commit
superset,chore clean aphrodite,yes,ds-02-commit
camel,upgrade braintree java version,no,ds-02-commit
kafka,kafka change default max session timeout minutes closes from hachikuji kafka,no,ds-02-commit
madlib,design doc replace tikz uml with pre compiled figure pivotal tracker tikz uml gpl license and cannot included after moving apache license replace class diagram design document that used tikz uml with pre compiled figure built using metauml,no,ds-02-commit
apisix-dashboard,display more meaningful information when running test cases failed display more meaningful information when running test cases fail,yes,ds-02-commit
spark,remove unnecessary doctest main methods,yes,ds-02-commit
hawq,hawq fixed coverity issues,no,ds-02-commit
dubbo,update javadoc,no,ds-02-commit
camel,add license header,no,ds-02-commit
geode,geode fix pulse webapp context pulse longer has redundant urls like http localhost pulse pulse pulseversion this closes,yes,ds-02-commit
flink,flink shell scripts remove jobmanager local mode from shell scripts,no,ds-02-commit
hive,hive druid scan query avoid copying from list map list nishant bangarwa via ashutosh chauhan,no,ds-02-commit
cloudstack,revert added cloud qemu system dependency packages this reverts commit bfcfd,no,ds-02-commit
activemq,revert change max file size long will impact index size and reasonable max atm,no,ds-02-commit
camel,upgrade opentracing java api,no,ds-02-commit
tomee,fixing datasource config one arquillian test,no,ds-02-commit
lucene-solr,adding convenience method which passes attributes map,no,ds-02-commit
