projectname,Abstract,origin_label,datasetname
impala,view compatibility tests need updated run against hive,yes,ds-01-issue
hbase,initially only wanted fix badly worded log message but found bunch code convention violations etc decided clean class only whitespace changes with exception one log message too many,yes,ds-01-issue
impala,add fine grained create privilege,no,ds-01-issue
chromium,somehow innerhtml being set element whose refcount and whose childs refcount does that mean its bindings error can javascript have reference element whose refcount ?,no,ds-01-issue
impala,when beeline accessing impala output misaligned,yes,ds-01-issue
hadoop,will upload branch patch after trunk patch build finished,no,ds-01-issue
camel,camel ganglia component was only released then ive changed state this bug not problem,no,ds-01-issue
camel,memory leak routingslip,yes,ds-01-issue
hadoop,looks like someone wants way get stack trace wherever configuration created sometimes that could useful only done debug log enabled its cost otherwise minimal recommend leaving file invalid wontfix,no,ds-01-issue
thrift,php tcompactprotocol has fails decode messages,no,ds-01-issue
hbase,simple patch will know more test fails again but can commit this now,no,ds-01-issue
camel,exchange java doc should updated help end users more about api exchange,yes,ds-01-issue
chromium,still have this problem use pro with something else rather than problem site working any other browser error unknown error most likely case validate data and respond login issues,no,ds-01-issue
hbase,metrics tabe metrics batchput and batchdelete are never updated,no,ds-01-issue
hbase,now will present simple error message that points relevant chapter book ! screen shot jpg !,no,ds-01-issue
hbase,disabling only concurrent builds given github multiple prs are open they will tested concurrently job that handles patches attached jiras hbase project also not impacted that job will happily build patches multiple issues same time will also continue only automatically triggered once given uploaded patch,no,ds-01-issue
chromium,closing according,no,ds-01-issue
gerrit,? ? ? click aosp logo see default view gerrit has unpublished drafts not right category top that should cls under review was until dunno few hours ago ? this needs thing should down below outgoing cls and above incoming cls since presumably these are cls reviewing furthermore needs only show cls that are still status open not merged abandoned thats just silly better yet there way can get rid move myself ? this configurable ?,no,ds-01-issue
camel,should resolved camel,no,ds-01-issue
impala,catalog daemon cant contact hms startup will fail out catalog constructor might consider not doing but instead retry longer time allow catalog and hms started concurrently,no,ds-01-issue
hbase,will add comment commit,no,ds-01-issue
hadoop,have committed this trunk and branches,no,ds-01-issue
gerrit,have implementation just allow them delete repo from underlying storage and have proprietary periodic job reindex all stale changes which knows how delete documents when repo disappears still discourage users from doing but allow,yes,ds-01-issue
hbase,integrated trunk and thanks patch takuya,no,ds-01-issue
401647335,fix directory conflicts that devtools run examples datapackager run false runs smoothly,yes,ds-04-R-issue
337022051,doing revealed few issues with vignette these notes from cmd check will need addressed see below,yes,ds-04-R-issue
chromium,version repros ghardy open suse fedora ubuntu cpu architecture bit bit window manager gnome behavior behavior chrome windows optional click quot click here yahoo quot save page yahoo window you may have wait some time before you get renderer crash both popup window and parent window doesnt crash you can try opening saved page multiple times clicking page from download shelf see screenshot stacktrace,no,ds-01-issue
gerrit,sentence style,no,ds-01-issue
chromium,ill partial revert bring back and xib,no,ds-01-issue
camel,fixed parameters names note that have found many posts across internet posted people asking why doesnt work they have followed docs examples etc simply doesnt work because parameter have been renamed putting wrong parameter names causes npe put method initialcontext which tells nothing about real problem making difficult solve this update will save your time studying ehcache code wondering whats wrong more needed,no,ds-01-issue
hadoop,got thanks ! just commented hdfs that maven build when running tests parallel mode automatically creates separate test directory each concurrent test process use thus isolation achieved maven build level and there requirement minidfscluster itself generate unique workspace course that only holds true all tests are playing nice and using properties passed down maven determine their test path like explore fixing this backtracing from bad paths shown rat report try find offending tests given that think correct already suspect well find problems are tests that dont use minidfscluster tests that explicitly configure their own data directories instead relying reluctant revert test parallelization its more urgent complete this cutover first though then understand,yes,ds-01-issue
hadoop,talked chris these debug messages not seem useful they are better removed removed debug messages and fixed all unchecked warning configuration,yes,ds-01-issue
hadoop,yeah probably let get that,no,ds-01-issue
hbase,create bulk load replication znode hfile refs replication queue default same hbase replication znode otherwise problem what happens currently replication admin directly operates without routing through suppose user enables replication bulk loaded data server but fails same client configurations then add peer will not add hfile refs znode resulting replication failure bulk loaded data after fixing this behavior will same mutation replication,no,ds-01-issue
thrift,sorry delay ! did not saw this earlier cheers ! roger,no,ds-01-issue
365144565,package claims read beast and mrbayes formatted tree output seems like should prepared read posteriors trees least specify clearly that these are not primary functionality package,yes,ds-04-R-issue
hadoop,adds debug option reworks classpath export consistent safer,yes,ds-01-issue
hbase,flakey finder fingered above commit breaking split test here when split test went bad unstable build feb add description build artifacts changes hbase functionality added part hbase not working detail started timer this run spent min sec waiting queue min building executor min total from scheduled completion revision test result failures see how commit hbase functionality added part hbase not working detail,yes,ds-01-issue
284578088,also theres currently text that suggests see details but details section,yes,ds-04-R-issue
hadoop,sorry mistake chris koji pointed out right way execute here what followed allocate cluster through hod and pass hod append create some files hdfs and delete files are getting deleted and being moved trash but not being removed from trash after trash interval interestingly set stand alone mode and files were removed from trash after but same behavior was not seen distributed mode,no,ds-01-issue
camel,bad missed public identifier while typing class public can access which field and not inner class,no,ds-01-issue
gerrit,forget what wrote about this not being polygerrit issue,no,ds-01-issue
impala,fixed,no,ds-01-issue
hadoop,missed this code review hadoop saw this happen test run recently here patch fix reviewed whole tostring method similar bugs and cannedacl only problem would you please review ?,no,ds-01-issue
chromium,cant play frontiereville game facebook anymore flash player crashes like crazy now what heck going ? ? ?,no,ds-01-issue
hadoop,resubmitting patch pre commit just sure about findbugs initialization issues,no,ds-01-issue
hadoop,update patch sync latest trunk,no,ds-01-issue
289806296,otherwise looks good !,no,ds-04-R-issue
camel,you can use data format component and use dynamic but yeah maybe also nicer improve jaxb dataformat support header control behavior,no,ds-01-issue
impala,looks like code this revolves around exchange hash seed other code constructor see init channels well hashandaddrows hashrow and addrowtochannel,no,ds-01-issue
gerrit,allow publish and compose kibana dashboards different sets projects leveraging ability store dashboard definitions different index example kibana index kibana gerrit index gerrit that will have all dashboards associated gerrit kibana index kibana spdk index spdk,no,ds-01-issue
gerrit,currently with way buttons are disabled pointer events none set which means that hovering over them won show their title hover text that said when submit button disabled think text why can submitted should more prominent perhaps above actions right side,no,ds-01-issue
chromium,windows behavior all keyboard shortcuts are ignored with any bubble opened can page info bubble bookmarks bubble etc,no,ds-01-issue
chromium,seeing this linux,no,ds-01-issue
hbase,none,no,ds-01-issue
gerrit,reviewer autocomplete not always working,no,ds-01-issue
hbase,release,no,ds-01-issue
gerrit,mac and chrome,no,ds-01-issue
chromium,archiving unconfirmed issues which have not been modified commented updated etc over years,no,ds-01-issue
gerrit,incoming calls call open call log call log supposed keep name and number keeps only number described issu add support caller name display,no,ds-01-issue
hadoop,patch looks good,no,ds-01-issue
hadoop,base implementing method should use portnumber variable instead constant,yes,ds-01-issue
impala,hue has found that fetchresults rpc sometimes returns few results when really should waiting full batch possible,no,ds-01-issue
hadoop,use uuids are version name was discussed length hadoop also you are using kmip key materials are identified uuid,no,ds-01-issue
hadoop,thanks review and commit,no,ds-01-issue
gerrit,send start review message box should renamed save,no,ds-01-issue
gerrit,has been merged into this issue,no,ds-01-issue
thrift,tbinaryprotocol message header call name length not validated and can used core server,yes,ds-01-issue
hbase,rpcserver replicationqueue initialized with max queue size instead max queue lenght,no,ds-01-issue
hadoop,attaching new patch apply latest trunk hadoop has gone,no,ds-01-issue
chromium,goto click buy button click complete order with all empty fields let page reload with error message click complete order again with all empty fields user posts back invalid data and page displays error chrome crashes with dep error attach screenshot possible crash dump attached,no,ds-01-issue
gerrit,actually seeing chromium behavior plugin being entirely broken,no,ds-01-issue
impala,support transferring reservation between reservationtrackers,no,ds-01-issue
camel,sorry dont see currently demand this ticket love contributions anyone community want step and create such component then that would great,no,ds-01-issue
impala,caused communication link failure failed connect server reason unknown,no,ds-01-issue
gerrit,youll need share what your jvm args are and what your setup looks like etc its likely environment configuration issue questions such this better suited repo discuss where likely get more traction and its exposed plethora gerrit admins with experience from such matters,no,ds-01-issue
hbase,should forward with this patch ?,no,ds-01-issue
gerrit,hey hugo thanks your feedback see answers below two nodes exchange their roles during day then well that change and are reindexed node and change and are reindexed node yes however unwanted side effect because they have different set changes reindexed still same behaviour series changes review stable disabling forwarding reindexing events different ticket that havent tackled yet believe reviewdb connection held too much time change reduced scope connection release sooner pool have default however that number thread pool sender side not receiver need investigate why had many more connections receiver side where jetty gives may needed interesting question answered but dont know yet what saw javamelody was massive increase connection allocated not ones currently used concurrently could that have hit some hiccup connection pool ? however not even need connect with notedb have reduced connection overload zero with fix review,yes,ds-01-issue
397120388,think would also advantageous mimic github pat function from devtools place get token,yes,ds-04-R-issue
hbase,updated patch,no,ds-01-issue
thrift,front webpage still advertising current release,yes,ds-01-issue
chromium,thanks report,no,ds-01-issue
gerrit,some changes proposed have already been made better fashion team and,no,ds-01-issue
camel,did some recent improves karaf features file this can install karaf now you can help test release building source code and test your karaf,no,ds-01-issue
