projectname,Abstract,origin_label,datasetname
spark,also could you make stats top page waiting batches and processed batches links corresponding sections ? and names should consistent please rename them here keep them active batches and completed batches,yes,ds-03-pr
Spark,neutral accepting bad input isnt usually great idea though this case cant see much harm its not ambiguous,yes,ds-05-PRC
spark,thats side improvement which can dropped not major goal commented fixing problems datastreamwriter isnt purpose introducing datastreamwriterv this rather providing symmetric user experience between batch and streaming with dataframewriterv end users can through running batch query with catalog table writer side whereas streaming query doesnt have something enable this problems described previous comment are simply problems structured streaming let explain end comment might going out topic see dataframewriterv has integrated lots other benefits more fluent logical plan write node etc which should great have datastreamwriterv but think theyre not key part writerv supporting catalog table simply major reason have regarding problems structured streaming kicked incomplete state support continuous mode out from structured streaming but basically concerns about continuous mode itself its rather applying hacks workaround architectural limitation one cares about community and had initiated discussion earlier and has been commented various prs think complete mode should kicked out well mode addresses some limited cases but treated one valid modes which adds much complexity some operations which basically shouldnt supported streaming query are supported under complete mode and vice versa because mode doesnt fit naturally its useful now because spark doesnt support true update mode sink and once spark can support update mode sink content external storage should just equivalent what complete mode provides without having dump all outputs thats just because missing feature queryable state probably can simulate complete mode via having special stateful operator which only works with update mode specific micro batch supporting dsv also major headache lots pattern matchings microbatchexecution are support dsv and even therere workarounds applied dsv remember answer discussion thread that dsv streaming data source not exposed public api which great news but see action plan get rid there something dsv cannot cover functionality which possible dsv ? then why not prioritize address problem ?,yes,ds-03-pr
nifi,microsoft recommends not refer system table like change tables instead use sys cdc help change data capture https docs microsoft com sql relational databases system tables cdc change tables transact sql,no,ds-03-pr
React,even want these jsdocs wea ? adding flow annotations ? dona ? know,no,ds-05-PRC
React,thank you your pull request require contributors sign our contributor license agreement and yours has expired before can review merge your code need you email cla com with your details can update your status,no,ds-05-PRC
flink,maybe check whether result resourceprofile zero ?,no,ds-03-pr
spark,lgtm,no,ds-03-pr
React,thank you filing this ! sorry bearer bad news but documentation and source code reactjs org now lives different repository reactjs reactjs org more info why made this move see issue would you willing open this new repo ? promise well review quickly !,no,ds-05-PRC
incubator-pinot,snleee please take look and see interface change okay linkedin internal tasks,no,ds-03-pr
nifi,built with java switched nifi starts and appears working great did notice this startup nifi java home not set results may vary java home nifi home users joe development nifi git nifi assembly target nifi snapshot bin nifi snapshot bootstrap config file development nifi git nifi assembly target nifi snapshot bin nifi snapshot conf bootstrap conf warning illegal reflective access operation has occurred warning illegal reflective access org apache nifi bootstrap util osutils file development nifi git nifi assembly target nifi snapshot bin nifi snapshot lib bootstrap nifi bootstrap snapshot jar method java lang processimpl pid warning please consider reporting this maintainers org apache nifi bootstrap util osutils warning use illegal access warn enable warnings further illegal reflective access operations warning all illegal access operations will denied future release,no,ds-03-pr
flink,perhaps also mention option specify target path ?,no,ds-03-pr
flink,review,no,ds-03-pr
spark,will not jitted also should not not too small otherwise there will many function calls,yes,ds-03-pr
kafka,can add comment explaining that expected result depending whether both ipv and ipv are enabled not ?,no,ds-03-pr
hadoop,this class audience private presuming changing this public statics name,no,ds-03-pr
kafka,refer this link build results access rights server needed https builds apache org job kafka jdk scala test passed jdk and scala,no,ds-03-pr
carbondata,done,no,ds-03-pr
kafka,lgtm thank you merging into and trunk,no,ds-03-pr
hbase,and same way below also,no,ds-03-pr
apisix,add type auth limit rewrite log,no,ds-03-pr
React,fixture broken theres few consts before imports probably because react scripts version has changed since but also get runtime error inside selects index nesteddomnode always null rendernestedselect fails,yes,ds-05-PRC
pulsar,merlimat not sure about which failover tests should run ?,no,ds-03-pr
gobblin,remove this block ?,no,ds-03-pr
kafka,why not return number fetches that were sent ?,no,ds-03-pr
carbondata,map not supported yet thrown unsupported exception map,yes,ds-03-pr
spark,doc needed ! something like pipeline consists sequence stages each which either estimator transformer when fit and transform are called stages are executed order and each stage may modify dataset before passed next stage maybe say something about what happens when there are stages too,yes,ds-03-pr
lucene-solr,like boost package already thinking about that would automatically boost tokens marked with synonym type example and there are probably other boosting filters can come with package collect them all makes sense prefer group packages functionality rather than implementation,no,ds-03-pr
React,deploy preview ready ! built with commit adf https deploy preview reactjs netlify com,no,ds-05-PRC
React,ran npm install locally will try again,no,ds-05-PRC
Kafka,methods above seem used many tests would make sense have utility class trait that people can mix ?,yes,ds-05-PRC
druid,leventov reply this patch wont preserve extension compatibility anyway since query gained withquerymetrics but basequery doesnt provide default implementation but also there nice migration path from this change now something that would better design ? from your discussion with himanshug sounds like there isnt and wed just want remove these methods were adding now and replace them with something else think thats case its fine make better change now and have next release after,no,ds-03-pr
trafficcontrol,refer this link build results access rights server needed https builds apache org job trafficcontrol,no,ds-03-pr
airflow,dstandish this approach seems acceptable,no,ds-03-pr
cloudstack,rhtyd jenkins job has been kicked build packages ill keep you posted make progress,no,ds-03-pr
spark,that happens during checkanalysis when report errors,no,ds-03-pr
tvm,icemelon can you please manage this ?,no,ds-03-pr
lucene-solr,right they may choose indexing approach based strategy names indicate algorithm metric but could anything none that can useful calculating vector score only purpose ranking hits matched other means,no,ds-03-pr
incubator-heron,use import avoid full path,no,ds-03-pr
spark,are sure input always unsafe backed array ? genericarraydata ?,no,ds-03-pr
spark,somehow custom committer spark actually use with this way least data source,no,ds-03-pr
spark,this sounds little risky process invoked even empty partitions this may cause hang situation command expecting input example this prs test case using cat and cat hangs are okay could you add test case empty partition make sure that handle those cases ?,yes,ds-03-pr
Spark,test,no,ds-05-PRC
zookeeper,yes sorry mean defaults initlimit with comment wanted emphasise that usually dont add every single new config option sample config file keeping size bare minimum and this new one doesnt seem any exceptional its more like advanced low level setting while sample config newbies,no,ds-03-pr
Kafka,regarding comment linkedhashset doesnt relocate key linked list when you update its value doesnt strictly matter correctness since there ordering between keys seemed nice preserve relative order buffer events that reprocessing would produce same sequence emissions,yes,ds-05-PRC
spark,actually its not covered there any expression calling expression nested with different data types its failing because this issue because expression datatype only considers true expression datatype and not considering false expressions datatype date type represented int and timestamp type long thats why there are two scenarios while reverse case long cannot assigned int without explicit type casting hence this teh issue,no,ds-03-pr
spark,this would mean that you have your running application accessing different namespaces and you want add new namespace connect you just add namespace you need application can break are not getting anymore tokens other namespaces rather follow jerryshaos comment about avoiding crash renewal fails this seems fix your problem and doesnt hurt other solutions,no,ds-03-pr
kafka,lgtm,no,ds-03-pr
incubator-mxnet,good once tests pass,no,ds-03-pr
streams,streams serializability processors,no,ds-03-pr
druid,what its null ?,no,ds-03-pr
Kafka,nit would remove directory here dont support directories all,yes,ds-05-PRC
Spark,retest this please,no,ds-05-PRC
flink,rather choose stick convention,no,ds-03-pr
Spark,this needs careful review might need design integrate pythons memory limit with spark memory management please help review jiangxb cloud fan jerryshao vanzin,yes,ds-05-PRC
kafka,kafka adminclient gets server returned information about unkno,no,ds-03-pr
flink,flink table fix proctime rowtime doesnt work tablee,no,ds-03-pr
incubator-mxnet,piiswrong have modify code and delete input data shape according zhreshold advice pls review again !,no,ds-03-pr
incubator-brooklyn,ive rebased this again can someone test and merge before new conflicts arise ?,no,ds-03-pr
hadoop,hmm how about just calling tostring which queries them anyway doesnt ?,no,ds-03-pr
spark,think can make inlined,no,ds-03-pr
kafka,suggestion only remove things that have been deprecated older one year seems like minimum should provide users migrate,no,ds-03-pr
nifi-minifi-cpp,updated license txt dba https github com apache nifi minifi cpp pull commits dba,no,ds-03-pr
flink,comment can removed,no,ds-03-pr
arrow,tianchen would you mind starting thread seems that jacques might not have bandwidth,no,ds-03-pr
iceberg,thanks jackye !,no,ds-03-pr
trafficserver,clang format failed ! https trafficserver apache org job clang format github,no,ds-03-pr
cloudstack,yes missing all releases can backported,no,ds-03-pr
spark,scrapcodes would you mind triggering build this ?,no,ds-03-pr
spark,actually identifier shuffle itself not stage right ? you reuse shuffle you get same shuffle but different stage,no,ds-03-pr
flink,think you are right that order break cyclic dependency would need decouple from via executionvertexid example wondering how bad this cyclic dependency and need mutable state though from users perspective existing interfaces are bit easier and more convenient use down side makes implementation bit harder and harder test isolation however want test scheduling implementations isolation ? moreover you always have this problem graph structures which have bidirectional edges loops,yes,ds-03-pr
spark,merged master,no,ds-03-pr
ambari,this unnecessary,yes,ds-03-pr
airflow,pypi can use categories better description and version number was out sync,yes,ds-03-pr
Kafka,this ready reviews,no,ds-05-PRC
React,leta ? remove this,no,ds-05-PRC
druid,filed https github com apache incubator druid issues,no,ds-03-pr
arrow,are row groups also integers ? based ?,no,ds-03-pr
commons-lang,general comment about randomutils shouldnt there methods that take random instance ? sometimes you want control over what rng you use random securerandom,no,ds-03-pr
brooklyn-server,why not make this versionedname ?,no,ds-03-pr
hive,updated improve readability https github com apache hive pull commits bbe and same time address hive,yes,ds-03-pr
beam,added after loop node client admin indices preparerefresh elastic index name get removed comment sleep ran test loop times works okay,no,ds-03-pr
madlib,sounds good ! also backing this decision just noticed this pretty clear previous behavior was bug ! glad weve fixed,no,ds-03-pr
nifi-minifi-cpp,can get rid this reason kept readme was keep short description tree think this may provide some value future reader you think saving worth removing this potential value ? honest question,no,ds-03-pr
dubbo,upgrade fastjson version https github com alibaba fastjson releases tag security issue pom xml pass,no,ds-03-pr
beam,value returned,no,ds-03-pr
Spark,damn bad,no,ds-05-PRC
arrow,see gets caught and rethrown below,no,ds-03-pr
spark,hvanhovell cloud fan davies could you please review this ?,no,ds-03-pr
storm,fix storm,no,ds-03-pr
drill,have manually checked that all files are same which obtained result mvn clean install dskiptests papache release looks like there are differences except those mentioned laurents comment,no,ds-03-pr
nutch,expression filter method could also removed then,no,ds-03-pr
React,since should really vary renderer anyway when would different from usesyncscheduling ? other than reactnoop case guess,yes,ds-05-PRC
zookeeper,eolivelli yep know meant wait gcr repo update another version,no,ds-03-pr
attic-apex-core,what difference between multiple calls activate and calling reactivate ? why will existing operators break ? will not activate called same instance multiple times only operators marked reuse instance and there are such operators ?,no,ds-03-pr
spark,right now vendoring easier minimize dependencies wed like contributing back these changes upstream later rgbkrk have you tried dill ? https github com uqfoundation dill,no,ds-03-pr
tvm,dtype runtime data type changes rename all old reference tvm type datatype exprnode type exprnode dtype expr type expr dtype change expr related functions expr operator datatype min min value datatype datatype max max value datatype move type constructor int uint float handle bool into datatype int bits datatype int bits uint bits datatype uint bits,no,ds-03-pr
Spark,this doesnt match style rest tests this file want update all them ?,yes,ds-05-PRC
